member
岩本蓮加,709.5,716,689,664.5,664.5,577,552.5,456,413.5,467.5,418.5,400.5,461,409.5,432.5,520,423.5,396.5,524,470,425,328.5,297.5,210,149.5,342.5,284.5,484,566.5,445.5,551,627,539.5,461,557.5,461,602.5,672,551,475,490.5,417,610,538,589.5,560,472.5,403,336,336,215,215,118.5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,360.5,360.5,376,376,409.5,409.5,443,476.5,537,552.5,601.5,601.5,601.5,689,753.5,675,621,672.5,630,581,572,559,543.5,427.5,378.5,405.5,333.5,333.5,331,264,212.5,188,109.5,203.5,203.5,167.5,212.5,221.5,405.5,423.5,520,499.5,484,484,432.5,484,345,408,320.5,549.5,574,435,453,592,592,529,692.5,580.5,511,468.5,468.5,372,284.5,154.5,130,87.5,0,0,0,0,0,0,0,0,0,
梅澤美波,778.5,642,642,834,834,825,807,952.5,867.5,870,881.5,884,868.5,800,800,739.5,681.5,791,775.5,706,681.5,636.5,627.5,652,652,578.5,554,623.5,583.5,565.5,547.5,534.5,537,588.5,546,555,546,541,456,480.5,478,551.5,515.5,430.5,450,403.5,339,339,227,169,102,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.5,287.5,321,354.5,394.5,394.5,370,430.5,430.5,455,455,455,549,540,531,488.5,479.5,540,614.5,704.5,659.5,635,648,623.5,592.5,592.5,583.5,671,574.5,599,545,484.5,471.5,498.5,471.5,411,422.5,335,362,512.5,497,479,524,445.5,454.5,510,447,380,350.5,350.5,354.5,309.5,294,245,265.5,277,324.5,454.5,530.5,497,405.5,405.5,336,260,199.5,96.5,96.5,0,0,0,0,0,0,0,0,0,
久保史緒里,586.5,562,562,477,477,492.5,470.5,399.5,415,393,377.5,435.5,395.5,386.5,375,377.5,377.5,346.5,346.5,403,427.5,382.5,407,349,364.5,353,317,259,261.5,333.5,403,427.5,488,582,582,577,525.5,550,505,538.5,569.5,621,589,533.5,484.5,453.5,429,353,292.5,241,158.5,100.5,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,326,375,375,399.5,455,455,470.5,470.5,470.5,470.5,470.5,571,571,571,528.5,555.5,616,522,618.5,609.5,706,706,636.5,639,645.5,648,596.5,563,630,549,536,505,587.5,554,471.5,431.5,462.5,465,474,420,471.5,516.5,541,541,563,605.5,590,590,538.5,442,460,411,462.5,413.5,411,489.5,547.5,471.5,447,319.5,313,313,225.5,125,0,0,0,0,0,0,0,0,0,0,0,
遠藤さくら,908,923.5,923.5,738,738,722.5,666,608,534.5,550,550,426.5,426.5,388,388,290,422.5,443,358,293.5,390,432.5,538,486.5,531.5,531.5,571.5,605,508.5,412,378.5,282,291,264,394,273,224,260,269,197,273,216.5,212.5,466,477.5,477.5,390,293.5,293.5,206,109.5,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.5,242.5,242.5,291.5,291.5,291.5,385.5,385.5,385.5,385.5,410,410,410,434.5,459,438.5,392,330,274.5,201,174,149.5,385,427.5,385,304,362,283.5,210,210,156,113.5,46.5,15.5,148,278,251,296,392.5,296,257.5,233,233,136.5,24.5,42.5,42.5,58,58,145.5,242,408,520,484,578,508.5,537,808.5,815,815,678.5,602.5,553.5,538,459.5,329.5,251,251,96.5,96.5,0,0,0,0,0,0,
賀喜遥香,554,697,697,627.5,627.5,576,608,599,610.5,623.5,527,648,585,576,511.5,465,465,416,385,418.5,297.5,282,228,185.5,121,197,197,378.5,479,474,443,431.5,362,393,357,534.5,519,512.5,506,454.5,385,358,288.5,690,620.5,654,520,477.5,381,365.5,269,269,139,139,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,547.5,605.5,679,679,679,679,694.5,694.5,750,750,750,846.5,846.5,943,909.5,876,827,882.5,902,877.5,819.5,801.5,819.5,734.5,715,721.5,625,625,568.5,608.5,530,514.5,414,437,434.5,358.5,307,227,247.5,201,259,243.5,246,360.5,336,266.5,293.5,264,333.5,336,369.5,394,445.5,445.5,418.5,497,566.5,687.5,636,636,515,448,378.5,345,345,248.5,188,15.5,15.5,0,0,0,0,0,0,
田村真佑,688.5,735,735,579,579,738.5,738.5,727,669,669,585.5,536.5,575,602,602,579,579,562,500,478,533.5,421.5,452.5,406,421.5,432,371.5,316,276,336.5,305.5,362,310.5,396.5,445.5,340,324.5,268,344,305.5,229.5,395.5,353,277,322,427.5,349,273,273,176.5,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,178,309.5,309.5,334,334,349.5,349.5,349.5,349.5,401,401,401,401,432,463,460.5,420.5,428,531,439.5,381.5,412.5,330,354.5,350.5,471.5,375,384,425,425,377.5,377.5,301.5,252.5,266.5,235.5,172.5,203.5,219,270.5,333.5,318,257.5,210,246,358,279.5,345,481.5,427.5,349,367,270.5,228,212.5,179,324.5,230.5,260,244.5,148,148,51.5,0,0,0,0,0,0,0,0,0,0,0,0,
五百城茉央,450,496.5,496.5,405,405,387,311,262,246.5,170.5,124,153.5,156,120,95.5,120,120,31,100.5,116,42.5,118.5,109.5,167.5,192,203.5,324.5,432.5,369.5,430,526.5,457,475,444,477.5,511,450.5,354,369.5,273,297.5,566.5,609,618,750.5,663,663,551,566.5,497,400.5,400.5,288.5,273,188,188,91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,398,413.5,447,489.5,489.5,532,547.5,581,623.5,623.5,623.5,623.5,623.5,648,694.5,858,1075.5,1030.5,1030.5,903,845,901.5,868,765,803.5,788,705.5,714.5,618,649,718.5,622,577,631,700.5,671,695.5,693,635,595,709.5,736.5,736.5,640,606.5,564,539.5,481.5,481.5,418.5,349,252.5,261.5,349,412,490.5,560,696.5,636,551,551,454.5,385,385,246,246,134,67,42.5,0,0,0,0,0,0,
池田瑛紗,979,1012.5,1012.5,925,925,806.5,806.5,734.5,764,782,694.5,621,578.5,520.5,496,496,435.5,368.5,404.5,308,359.5,447,492,512.5,476.5,530.5,443,485.5,413.5,362,389,355.5,521.5,463.5,497,418.5,418.5,443,494.5,355.5,382.5,313,445.5,484,499.5,412,324.5,309,212.5,212.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,494.5,595,595,644,677.5,677.5,780.5,823,847.5,944,944,944,944,944,944,1008.5,1024,979,1026.5,1053.5,950.5,950.5,950.5,805,756,698,722.5,523,686.5,574.5,501,564,539.5,651.5,772.5,734,743,734,770,694,660.5,660.5,573,705.5,784,703,757,808.5,712,673.5,725,640,655.5,631,591,537,564,467.5,476.5,476.5,373.5,288.5,257.5,257.5,118.5,94,0,0,0,0,0,0,0,0,0,
一ノ瀬美空,432,527.5,527.5,474.5,474.5,523.5,499,494,543,498,536.5,472,441,410,354.5,305.5,250,192,259,149.5,127.5,239.5,309,333.5,335,456,408.5,496,480.5,413.5,503.5,503.5,422.5,480.5,498.5,402,344,337.5,449.5,480.5,555,493,566.5,564,568,619.5,507.5,395.5,322,418.5,306.5,282,221.5,121,0,96.5,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,242.5,316,316,316,331.5,347,347,347,347,347,347,389.5,389.5,389.5,405,572.5,526,544,501.5,443.5,533.5,518,565.5,507.5,511.5,520.5,480.5,413.5,568,487,478,381.5,465,389,355.5,355.5,259,201,185.5,89,163.5,163.5,179,275.5,275.5,275.5,248.5,403,378.5,345,282,333.5,345,414.5,430,618,685,806,694,694,597.5,479,472.5,423.5,345,287,287,190.5,94,33.5,0,0,0,0,0,
井上和,608,632.5,632.5,603,603,717.5,699.5,626,599,574.5,565.5,498.5,507.5,507.5,507.5,529.5,447,687.5,687.5,663,678.5,584.5,699,750.5,696.5,645,591,557.5,499.5,403,524,421,466,414.5,369.5,327,284.5,345,329.5,233,208.5,157,139,139,332,444,305,305,208.5,112,51.5,0,0,0,0,42.5,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,403,418.5,434,449.5,449.5,449.5,449.5,492,507.5,541,541,541,541,556.5,556.5,587.5,484.5,457.5,545,439.5,556.5,498.5,452,479,529,529,441.5,345,345,363,354,251,390,390,432.5,369.5,524,436.5,436.5,373.5,315.5,273,351.5,221.5,257.5,224,172.5,78.5,215,112,127.5,175,175,139,139,408,450.5,363,275.5,275.5,179,100.5,42.5,0,0,0,0,0,0,0,0,0,0,0,0,
